number,topics
0,Leave this one blank
1,Introduction
2,Prolog 1
3,Prolog 2
4,Prolog 3
5,Prolog 4
6,Debugging prolog
7,Work Day
8,Work Day
9,Erlang 1
10,Erlang 2
11,Erlang 3
12,Erlang 4
13,Erlang 5 – Raft
14,Erlang 6 – Debugging Sends and Receives
15,Work Day
16,Work Day
17,Sick day
18,Haskell 1
19,Haskell 2
20,Haskell 3
21,Haskell 4
22,Work Day
23,Work Day
24,Work Day
25,The Final Project
26,Instructors Choice 1: Smalltalk 1
27,Instructors Choice 2: The Smalltalk Image
28,Instructors Choice 3: Monads
29,Instructors Choice 4: Lua and C Integration
30,Instructors Choice 5: Lua and Prototype based OO
31,Final Project Talks: Rust
32,Final Project Talks: Forth
33,Final Project Talks: Inform 7
34,Final Project Talks: Go
35,Final Project Talks: Io
36,CLASS CANCELLED
37,CLASS CANCELLED
38,Final Project Talks: Kotlin
39,Final Project Talks: Smalltalk
40,Final Reflections
